date,city,temp_max,temp_min,rainfall
2018-01-01,Chennai,29.3,21.7,0.1
2018-01-02,Chennai,28.4,20.9,1.5
2018-01-03,Chennai,28.0,22.5,0.0
2018-01-04,Chennai,28.1,22.0,0.0
2018-01-05,Chennai,27.1,20.1,0.0
2018-01-06,Chennai,27.0,20.4,0.0
2018-01-07,Chennai,27.1,19.5,0.0
2018-01-08,Chennai,27.5,19.4,0.0
2018-01-09,Chennai,27.7,23.9,1.9
2018-01-10,Chennai,26.6,23.6,22.8
2018-01-11,Chennai,27.9,23.5,0.0
2018-01-12,Chennai,28.0,21.7,0.0
2018-01-13,Chennai,27.9,21.2,0.0
2018-01-14,Chennai,27.7,21.2,0.0
2018-01-15,Chennai,27.8,21.2,0.0
2018-01-16,Chennai,27.7,22.1,0.0
2018-01-17,Chennai,27.2,20.4,0.0
2018-01-18,Chennai,27.1,19.6,0.0
2018-01-19,Chennai,27.0,19.6,0.0
2018-01-20,Chennai,26.9,20.1,0.0
2018-01-21,Chennai,26.9,19.9,0.0
2018-01-22,Chennai,26.8,20.6,0.4
2018-01-23,Chennai,27.4,21.3,0.0
2018-01-24,Chennai,27.7,20.0,0.0
2018-01-25,Chennai,28.3,19.9,0.0
2018-01-26,Chennai,28.3,20.3,0.0
2018-01-27,Chennai,27.7,20.3,0.0
2018-01-28,Chennai,27.4,21.0,0.0
2018-01-29,Chennai,27.4,21.9,0.0
2018-01-30,Chennai,27.7,20.4,0.0
2018-01-31,Chennai,28.3,19.4,0.0
2018-02-01,Chennai,28.0,17.3,0.0
2018-02-02,Chennai,28.7,17.3,0.0
2018-02-03,Chennai,27.4,17.5,0.0
2018-02-04,Chennai,26.9,19.6,0.0
2018-02-05,Chennai,28.2,22.4,0.0
2018-02-06,Chennai,28.3,20.9,0.0
2018-02-07,Chennai,28.8,22.3,0.0
2018-02-08,Chennai,29.6,23.1,0.0
2018-02-09,Chennai,28.8,21.5,0.0
2018-02-10,Chennai,28.6,22.7,0.0
2018-02-11,Chennai,28.8,23.4,0.0
2018-02-12,Chennai,29.0,24.3,0.4
2018-02-13,Chennai,28.5,22.9,0.1
2018-02-14,Chennai,28.8,24.1,0.2
2018-02-15,Chennai,29.3,23.7,0.1
2018-02-16,Chennai,29.4,22.0,0.0
2018-02-17,Chennai,29.0,21.4,0.0
2018-02-18,Chennai,28.9,20.6,0.0
2018-02-19,Chennai,28.2,21.6,0.0
2018-02-20,Chennai,28.4,20.7,0.0
2018-02-21,Chennai,28.8,21.0,0.0
2018-02-22,Chennai,29.0,20.0,0.0
2018-02-23,Chennai,28.6,19.7,0.0
2018-02-24,Chennai,28.8,22.0,0.0
2018-02-25,Chennai,30.3,22.6,0.0
2018-02-26,Chennai,30.8,21.3,0.0
2018-02-27,Chennai,30.5,20.7,0.0
2018-02-28,Chennai,29.8,20.9,0.0
2018-03-01,Chennai,31.0,22.0,0.0
2018-03-02,Chennai,31.3,22.1,0.0
2018-03-03,Chennai,31.0,20.9,0.0
2018-03-04,Chennai,30.9,20.2,0.0
2018-03-05,Chennai,29.3,19.8,0.0
2018-03-06,Chennai,29.6,21.7,0.0
2018-03-07,Chennai,30.5,21.3,0.0
2018-03-08,Chennai,31.1,20.1,0.0
2018-03-09,Chennai,30.3,21.9,0.0
2018-03-10,Chennai,30.7,22.4,0.0
2018-03-11,Chennai,29.7,23.1,0.0
2018-03-12,Chennai,30.7,24.1,0.1
2018-03-13,Chennai,30.8,25.8,0.6
2018-03-14,Chennai,31.2,25.2,0.2
2018-03-15,Chennai,31.3,24.5,0.0
2018-03-16,Chennai,31.1,25.7,2.3
2018-03-17,Chennai,28.4,25.4,5.0
2018-03-18,Chennai,30.7,25.0,0.0
2018-03-19,Chennai,30.6,24.8,0.0
2018-03-20,Chennai,31.0,22.6,0.0
2018-03-21,Chennai,32.5,23.4,0.0
2018-03-22,Chennai,33.1,23.9,0.0
2018-03-23,Chennai,32.9,24.7,0.0
2018-03-24,Chennai,32.0,25.3,0.0
2018-03-25,Chennai,30.9,25.3,0.0
2018-03-26,Chennai,31.1,24.4,0.0
2018-03-27,Chennai,31.9,24.8,0.0
2018-03-28,Chennai,32.8,26.0,0.6
2018-03-29,Chennai,33.5,26.4,0.0
2018-03-30,Chennai,33.1,25.9,0.4
2018-03-31,Chennai,32.9,26.1,1.5
2018-04-01,Chennai,31.4,26.3,1.4
2018-04-02,Chennai,31.6,26.4,0.7
2018-04-03,Chennai,31.3,26.2,0.1
2018-04-04,Chennai,31.6,25.4,0.0
2018-04-05,Chennai,31.6,25.0,0.0
2018-04-06,Chennai,31.6,25.5,0.0
2018-04-07,Chennai,31.9,25.9,0.1
2018-04-08,Chennai,30.8,25.8,0.9
2018-04-09,Chennai,31.7,26.6,0.2
2018-04-10,Chennai,32.1,25.4,0.2
2018-04-11,Chennai,31.9,26.1,1.8
2018-04-12,Chennai,32.5,26.5,0.4
2018-04-13,Chennai,31.9,26.8,0.8
2018-04-14,Chennai,32.5,26.6,0.5
2018-04-15,Chennai,32.1,27.3,1.3
2018-04-16,Chennai,32.8,27.4,0.9
2018-04-17,Chennai,33.1,27.2,0.2
2018-04-18,Chennai,33.6,26.2,0.0
2018-04-19,Chennai,34.7,27.9,0.0
2018-04-20,Chennai,34.6,27.9,0.0
2018-04-21,Chennai,33.6,28.4,0.1
2018-04-22,Chennai,34.1,27.2,0.0
2018-04-23,Chennai,33.4,27.4,0.1
2018-04-24,Chennai,33.7,27.0,0.0
2018-04-25,Chennai,34.1,27.8,0.1
2018-04-26,Chennai,34.0,27.5,0.1
2018-04-27,Chennai,33.4,27.7,0.0
2018-04-28,Chennai,33.0,27.4,0.3
2018-04-29,Chennai,33.6,27.2,0.1
2018-04-30,Chennai,34.8,28.1,0.0
2018-05-01,Chennai,35.6,28.9,0.0
2018-05-02,Chennai,34.8,28.8,0.1
2018-05-03,Chennai,33.9,26.2,1.0
2018-05-04,Chennai,33.0,27.3,1.0
2018-05-05,Chennai,32.7,27.5,0.6
2018-05-06,Chennai,33.3,27.6,0.4
2018-05-07,Chennai,34.8,27.8,0.0
2018-05-08,Chennai,34.5,28.5,0.0
2018-05-09,Chennai,33.4,28.2,0.2
2018-05-10,Chennai,32.8,27.9,0.6
2018-05-11,Chennai,34.5,27.9,0.0
2018-05-12,Chennai,34.2,28.3,0.1
2018-05-13,Chennai,34.2,28.4,0.0
2018-05-14,Chennai,33.7,27.7,0.0
2018-05-15,Chennai,33.3,26.9,0.9
2018-05-16,Chennai,33.2,27.6,0.0
2018-05-17,Chennai,33.8,27.9,0.0
2018-05-18,Chennai,34.2,27.5,0.0
2018-05-19,Chennai,35.3,27.9,0.0
2018-05-20,Chennai,34.6,28.0,0.0
2018-05-21,Chennai,34.1,28.4,0.2
2018-05-22,Chennai,33.6,28.1,0.3
2018-05-23,Chennai,32.8,27.6,0.7
2018-05-24,Chennai,33.0,27.1,0.3
2018-05-25,Chennai,32.7,26.7,2.0
2018-05-26,Chennai,32.6,27.0,0.0
2018-05-27,Chennai,32.9,27.1,0.9
2018-05-28,Chennai,33.6,28.2,0.0
2018-05-29,Chennai,37.3,28.7,0.0
2018-05-30,Chennai,37.6,29.6,0.0
2018-05-31,Chennai,37.1,28.5,0.0
2018-06-01,Chennai,35.1,28.7,0.0
2018-06-02,Chennai,34.6,27.3,1.6
2018-06-03,Chennai,34.3,27.2,4.1
2018-06-04,Chennai,34.3,28.5,0.0
2018-06-05,Chennai,36.3,28.9,0.6
2018-06-06,Chennai,35.6,27.9,3.8
2018-06-07,Chennai,36.9,27.2,1.4
2018-06-08,Chennai,37.6,28.8,0.0
2018-06-09,Chennai,37.7,29.3,0.4
2018-06-10,Chennai,36.8,28.8,0.0
2018-06-11,Chennai,36.3,29.4,3.6
2018-06-12,Chennai,36.3,29.5,1.8
2018-06-13,Chennai,36.3,29.1,0.0
2018-06-14,Chennai,37.1,29.1,1.9
2018-06-15,Chennai,36.8,29.5,1.6
2018-06-16,Chennai,36.0,27.9,1.1
2018-06-17,Chennai,38.6,28.4,0.1
2018-06-18,Chennai,37.7,28.9,0.0
2018-06-19,Chennai,36.2,29.0,0.5
2018-06-20,Chennai,36.1,28.6,0.0
2018-06-21,Chennai,35.5,28.7,0.7
2018-06-22,Chennai,36.5,28.9,0.1
2018-06-23,Chennai,35.4,26.1,16.1
2018-06-24,Chennai,34.7,26.3,4.4
2018-06-25,Chennai,35.2,26.1,2.6
2018-06-26,Chennai,37.6,28.2,0.1
2018-06-27,Chennai,36.3,28.1,6.7
2018-06-28,Chennai,34.1,27.5,0.7
2018-06-29,Chennai,33.8,27.2,3.1
2018-06-30,Chennai,31.7,26.4,0.2
2018-07-01,Chennai,31.7,26.0,5.1
2018-07-02,Chennai,32.1,24.8,37.3
2018-07-03,Chennai,33.3,24.8,1.9
2018-07-04,Chennai,34.5,26.9,0.5
2018-07-05,Chennai,34.7,27.3,0.3
2018-07-06,Chennai,35.1,26.8,3.6
2018-07-07,Chennai,30.8,27.2,0.4
2018-07-08,Chennai,34.7,28.1,0.3
2018-07-09,Chennai,34.5,27.5,0.3
2018-07-10,Chennai,35.1,27.5,0.1
2018-07-11,Chennai,34.8,27.6,3.5
2018-07-12,Chennai,35.1,27.6,0.1
2018-07-13,Chennai,36.4,28.1,1.1
2018-07-14,Chennai,35.3,28.2,0.1
2018-07-15,Chennai,35.1,28.9,0.0
2018-07-16,Chennai,37.0,28.6,0.1
2018-07-17,Chennai,37.5,28.7,0.1
2018-07-18,Chennai,37.6,28.7,0.0
2018-07-19,Chennai,36.4,29.2,0.4
2018-07-20,Chennai,35.8,28.8,0.0
2018-07-21,Chennai,36.6,29.4,0.0
2018-07-22,Chennai,36.7,28.6,0.0
2018-07-23,Chennai,37.1,28.6,0.2
