city,temperature,humidity,pressure,weather,wind_speed,date_time
indore,23.1,88,1013,haze,0.0,2025-11-03 21:15:04
surat,25.99,94,1012,mist,3.09,2025-11-03 21:14:52
pune,21.47,94,1015,broken clouds,2.36,2025-11-03 21:14:48
puttur,22.31,97,1015,broken clouds,0.5,2025-11-03 21:12:31
chandigarh,19.82,41,1009,clear sky,2.92,2025-11-03 21:12:17
jaipur,23.62,43,1010,haze,2.06,2025-11-03 21:11:15
calicut,26.65,78,1014,overcast clouds,4.9,2025-11-03 20:59:57
bhopal,24.13,53,1012,haze,0.0,2025-11-03 20:55:43
kolkata,26.97,65,1010,haze,2.57,2025-11-03 20:45:01
chennai,27.71,88,1011,mist,2.68,2025-11-03 20:44:45
mumbai,27.99,83,1013,haze,2.57,2025-11-03 20:44:34
agra,25.01,29,1009,clear sky,2.93,2025-11-03 20:28:58
jaipur,22.62,38,1010,haze,0.51,2025-11-03 20:28:48
lucknow,20.99,94,1010,mist,1.03,2025-11-03 20:28:25
bengaluru,22.6,80,1014,few clouds,2.57,2025-11-03 20:28:10
mangalore,26.48,89,1014,few clouds,2.06,2025-11-03 20:27:16
hyderabad,24.23,88,1013,haze,2.06,2025-11-03 20:26:24
patna,22.96,94,1010,mist,2.06,2025-11-03 20:22:58
mumbai,27.99,83,1013,haze,2.57,2025-11-03 20:22:41
bengaluru,22.6,80,1014,few clouds,2.57,2025-11-03 20:22:30
chennai,27.67,89,1011,mist,2.68,2025-11-03 20:21:16
delhi,24.05,43,1009,haze,0.0,2025-11-03 20:11:56
delhi,24.05,43,1009,haze,0.0,2025-11-03 20:09:26
delhi,24.05,78,1010,mist,0.0,2025-10-31 20:53:53
