city,timestamp,old_RMSE,old_R2,status
ahmedabad,2025-11-12 18:19:16,1.055560827086054,-2.095024054662763,Success
amritsar,2025-11-12 18:19:18,1.1089593421450297,-2.4160856181409347,Success
bengaluru,2025-11-12 18:19:20,1.1021934742066384,-2.374529040510275,Success
bhopal,2025-11-12 18:19:22,1.0643599733060654,-2.146839313266913,Success
chandigarh,2025-11-12 18:19:23,1.103440787466399,-2.382171031790186,Success
chennai,2025-11-12 18:19:25,1.057169744143836,-2.104466299814293,Success
coimbatore,2025-11-12 18:19:26,1.1014542796997793,-2.3700042507471166,Success
dehradun,2025-11-12 18:19:28,1.0617140700822243,-2.131213240584896,Success
delhi,2025-11-12 18:19:30,1.106158862930397,-2.398853972331855,Success
goa,2025-11-12 18:19:32,1.102409990550615,-2.37585496462724,Success
gurugram,2025-11-12 18:19:34,1.064662255235305,-2.1486269936742413,Success
guwahati,2025-11-12 18:19:36,1.103880892827353,-2.3848695154147594,Success
hyderabad,2025-11-12 18:19:38,1.06214722523392,-2.133768689089208,Success
indore,2025-11-12 18:19:40,1.110436201901297,-2.425190440258277,Success
jaipur,2025-11-12 18:19:42,1.0534725361966548,-2.082789957001701,Success
kolkata,2025-11-12 18:19:45,1.1019889228303066,-2.3732766278908306,Success
lucknow,2025-11-12 18:19:47,1.0585350348112414,-2.112490055341209,Success
mumbai,2025-11-12 18:19:49,1.0665242804642563,-2.1596501133883383,Success
mysuru,2025-11-12 18:19:51,1.060921274091252,-2.12653874949835,Success
nagpur,2025-11-12 18:19:53,1.1047721462706297,-2.390337486598374,Success
nashik,2025-11-12 18:19:55,1.105953137576874,-2.3975898403225893,Success
noida,2025-11-12 18:19:57,1.102086757083027,-2.373875611493843,Success
patna,2025-11-12 18:19:59,1.0563028870112003,-2.0993771919672115,Success
pune,2025-11-12 18:20:01,1.1098835036929653,-2.4217816438049216,Success
rajkot,2025-11-12 18:20:03,1.0561812202352925,-2.098663249938086,Success
ranchi,2025-11-12 18:20:05,1.0584682299766353,-2.112097205194085,Success
shimla,2025-11-12 18:20:08,1.1038831690981168,-2.3848834750502794,Success
surat,2025-11-12 18:20:10,1.1046003467704453,-2.389283128014964,Success
thiruvananthapuram,2025-11-12 18:20:12,1.0920678521364269,-2.312811649082966,Success
vadodara,2025-11-12 18:20:13,1.0607323263815116,-2.1254251895298144,Success
varanasi,2025-11-12 18:20:15,1.1074379243124337,-2.406718767237312,Success
visakhapatnam,2025-11-12 18:20:18,1.102095872566255,-2.373931423132158,Success
ahmedabad,2025-11-12 18:21:43,1.0569762510727951,-2.1033299870330584,Success
amritsar,2025-11-12 18:21:48,1.0983039059271746,-2.35075408270802,Success
bengaluru,2025-11-12 18:21:51,1.1044735857732928,-2.3885052824192075,Success
bhopal,2025-11-12 18:21:53,1.0590367525752815,-2.1154412314033286,Success
chandigarh,2025-11-12 18:21:55,1.1053585728183055,-2.3939377069525607,Success
chennai,2025-11-12 18:21:57,1.103043884281034,-2.3797383629160898,Success
coimbatore,2025-11-12 18:21:59,1.062047955502418,-2.133182943852412,Success
dehradun,2025-11-12 18:22:01,1.0984229849630318,-2.351480705264158,Success
delhi,2025-11-12 18:22:03,1.105271372544981,-2.3934022415762937,Success
goa,2025-11-12 18:22:05,1.0603688530633757,-2.1232836237414947,Success
gurugram,2025-11-12 18:22:08,1.0670847353964832,-2.1629717569893967,Success
guwahati,2025-11-12 18:22:10,1.1046480306901567,-2.3895757547434497,Success
hyderabad,2025-11-12 18:22:13,1.096921486271753,-2.3423242973461957,Success
indore,2025-11-12 18:22:15,1.0625620606085495,-2.136217035124135,Success
jaipur,2025-11-12 18:22:18,1.0634314991926852,-2.1413515374311176,Success
kolkata,2025-11-12 18:22:20,1.1047299791966532,-2.3900786859328806,Success
lucknow,2025-11-12 18:22:22,1.057273151554942,-2.10507365833033,Success
mumbai,2025-11-12 18:22:24,1.1013829934572723,-2.3695680507691783,Success
mysuru,2025-11-12 18:22:26,1.103933772562271,-2.385193817232136,Success
nagpur,2025-11-12 18:22:28,1.0993891503078843,-2.357379177263037,Success
nashik,2025-11-12 18:22:30,1.0645207475684009,-2.1477900611210763,Success
noida,2025-11-12 18:22:33,1.1034880003212857,-2.3824604634807502,Success
patna,2025-11-12 18:22:35,1.057632225659267,-2.107183124313817,Success
pune,2025-11-12 18:22:37,1.102203216990522,-2.374588698734041,Success
rajkot,2025-11-12 18:22:39,1.0996417172088804,-2.358921961739152,Success
ranchi,2025-11-12 18:22:41,1.0623069411402533,-2.1347112144298914,Success
shimla,2025-11-12 18:22:43,1.090289553804996,-2.302031419823048,Success
surat,2025-11-12 18:22:46,1.1049292124885892,-2.391301568362925,Success
thiruvananthapuram,2025-11-12 18:22:48,1.1022529638684642,-2.374893323213369,Success
vadodara,2025-11-12 18:22:50,1.1029700266722635,-2.3792857770483717,Success
varanasi,2025-11-12 18:22:52,1.0637594247681093,-2.143289204952719,Success
visakhapatnam,2025-11-12 18:22:54,1.062533358521783,-2.1360476054766155,Success
